0.000000000,0
0.882369040,1
2.690905440,0
2.690908520,1
2.690909540,0
2.690912600,1
2.690913620,0
2.690916700,1
2.690917720,0
2.690920800,1
2.690921820,0
2.690924900,1
2.690925920,0
2.690929000,1
2.690930020,0
2.690933080,1
2.690934100,0
2.690937180,1
2.690938200,0
2.690939240,1
2.690941660,0
2.690944680,1
2.690945640,0
2.690948660,1
2.690949620,0
2.690952660,1
2.690953620,0
2.690956640,1
2.690957600,0
2.690960640,1
2.690961580,0
2.690962620,1
2.690965580,0
2.690968600,1
2.690969560,0
2.690970600,1
2.690973540,0
2.690976580,1
2.690977540,0
2.690980580,1
2.690981520,0
2.690984560,1
2.690985500,0
2.690988540,1
2.690989500,0
2.690992540,1
2.690993480,0
2.690996520,1
2.690997460,0
2.691000500,1
2.691001460,0
2.691004500,1
2.691005440,0
2.691008480,1
2.691009420,0
2.691012460,1
2.691013420,0
2.691016460,1
2.691017400,0
2.691020440,1
2.691021380,0
2.691024420,1
2.691025380,0
2.691028420,1
2.691029360,0
2.691032400,1
2.691033340,0
2.691036380,1
2.691037340,0
2.691039380,1
2.697945380,0
2.697948460,1
2.697949480,0
2.697952560,1
2.697953560,0
2.697956640,1
2.697957660,0
2.697960740,1
2.697961760,0
2.697964840,1
2.697965860,0
2.697968940,1
2.697969960,0
2.697973040,1
2.697974060,0
2.697975080,1
2.697978140,0
2.697979180,1
2.697981800,0
2.697984820,1
2.697985780,0
2.697988800,1
2.697989760,0
2.697992800,1
2.697993760,0
2.697996780,1
2.697997740,0
2.698000780,1
2.698001720,0
2.698004760,1
2.698005720,0
2.698008760,1
2.698009700,0
2.698012740,1
2.698013680,0
2.698016720,1
2.698017680,0
2.698020720,1
2.698021660,0
2.698024700,1
2.698025640,0
2.698028680,1
2.698029640,0
2.698032680,1
2.698033620,0
2.698036660,1
2.698037600,0
2.698040640,1
2.698041600,0
2.698044640,1
2.698045580,0
2.698048620,1
2.698049560,0
2.698052600,1
2.698053560,0
2.698056600,1
2.698057540,0
2.698060580,1
2.698061520,0
2.698064560,1
2.698065520,0
2.698068560,1
2.698069500,0
2.698072540,1
2.698073480,0
2.698076520,1
2.698077480,0
2.698080520,1
2.698081460,0
2.698084500,1
2.698085440,0
2.698088480,1
