11.056862457,1,1,1
11.056955580,1,1,0
11.056994000,0,1,0
11.056995740,1,1,0
11.056997960,0,1,0
11.056998020,0,0,0
11.056999760,1,0,0
11.057002020,0,0,0
11.057003780,1,0,0
11.057006020,0,0,0
11.057007800,1,0,0
11.057010020,0,0,0
11.057011820,1,0,0
11.057014040,0,0,0
11.057015840,1,0,0
11.057018040,0,0,0
11.057019860,1,0,0
11.057022060,0,0,0
11.057023860,1,0,0
11.057025880,1,1,0
11.057062220,0,1,0
11.057062260,0,0,0
11.057064020,1,0,0
11.057066040,1,1,0
11.057066280,0,1,0
11.057068040,1,1,0
11.057070240,0,1,0
11.057070280,0,0,0
11.057072060,1,0,0
11.057074280,0,0,0
11.057076080,1,0,0
11.057078300,0,0,0
11.057080080,1,0,0
11.057082300,0,0,0
11.057084100,1,0,0
11.057086120,1,1,0
11.057086360,0,1,0
11.057088120,1,1,0
11.057090300,0,1,0
11.057090320,0,0,0
11.057092140,1,0,0
11.057094140,1,1,0
11.057110400,0,1,0
11.057110440,0,0,0
11.057112200,1,0,0
11.057114460,0,0,0
11.057116220,1,0,0
11.057118440,0,0,0
11.057120240,1,0,0
11.057122480,0,0,0
11.057124260,1,0,0
11.057126480,0,0,0
11.057128280,1,0,0
11.057130480,0,0,0
11.057132300,1,0,0
11.057134500,0,0,0
11.057136300,1,0,0
11.057138520,0,0,0
11.057140320,1,0,0
11.057142320,1,1,0
11.057158600,0,1,0
11.057158640,0,0,0
11.057160400,1,0,0
11.057162640,0,0,0
11.057164420,1,0,0
11.057166640,0,0,0
11.057168420,1,0,0
11.057170660,0,0,0
11.057172440,1,0,0
11.057174660,0,0,0
11.057176460,1,0,0
11.057178680,0,0,0
11.057180480,1,0,0
11.057182680,0,0,0
11.057184500,1,0,0
11.057186700,0,0,0
11.057188520,1,0,0
11.057190520,1,1,0
11.057206780,0,1,0
11.057206820,0,0,0
11.057208580,1,0,0
11.057210820,0,0,0
11.057212600,1,0,0
11.057214840,0,0,0
11.057216620,1,0,0
11.057218840,0,0,0
11.057220640,1,0,0
11.057222840,0,0,0
11.057224660,1,0,0
11.057226860,0,0,0
11.057228660,1,0,0
11.057230880,0,0,0
11.057232680,1,0,0
11.057234900,0,0,0
11.057236700,1,0,0
11.057238700,1,1,0
11.057243160,1,1,1
11.057283140,0,1,1
11.057284880,1,1,1
11.057287100,0,1,1
11.057287140,0,0,1
11.057288900,1,0,1
11.057291140,0,0,1
11.057292920,1,0,1
11.057295140,0,0,1
11.057296920,1,0,1
11.057299160,0,0,1
11.057300940,1,0,1
11.057303160,0,0,1
11.057304960,1,0,1
11.057307180,0,0,1
11.057308980,1,0,1
11.057311180,0,0,1
11.057313000,1,0,1
11.057315000,1,1,1
11.057419260,1,1,0
11.057426740,1,1,1
11.057502720,1,1,1
